Marca temporal,¿Qué edad tienes?,¿Qué dispositivos usas principalmente?,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil (celular, tablet) en días laborables?","  ¿Cuántas horas diarias pasas, en promedio, específicamente en Redes Sociales? (Instagram, TikTok, Twitter/X, etc.)  ",  ¿Cuál es tu promedio académico actual o estimado en este ciclo lectivo? (Nota del 1 al 10)  ,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil durante los fines de semana?",¿Cuál es la principal actividad que realiza en su dispositivo móvil?,Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Lunes a Viernes],Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Sábados y Domingos],Evalúe su nivel de dependencia del dispositivo móvil (1 siendo muy baja y 10 siendo muy alta).,¿Considera que su uso de pantalla afecta negativamente su sueño o productividad?
2026-06-08 13:07:26.144,16,Iphone,7.0,tarde o noche ,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,"No, en absoluto"
2026-06-08 13:08:14.903,38,Android,5.0,Instagram 1 a 2 horas ,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Temprano en la mañana (antes de las 9:00),4,Moderadamente
2026-06-08 13:11:00.351,17,Iphone,5.0,Tal vez unas 4 o 5 horas,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Moderadamente
2026-06-08 13:14:53.808,17,Iphone,7.0,5-6,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Ligeramente
2026-06-08 13:17:55.804,15,Android,7.0,todo el dia,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Temprano en la mañana (antes de las 9:00),10,Ligeramente
2026-06-08 13:19:17.315,16,Iphone,5.0,"depende el dia pero hoy casi unas 4 horas, mas q nada en TikTok e Instagram.",7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Moderadamente
2026-06-08 13:22:15.126,34,Android,7.0,Más de 6 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente
2026-06-08 13:24:43.125,14,Android,5.0,Máximo 5 ,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,"No, en absoluto"
2026-06-08 13:27:30.307,17,Android,7.0,3 horas,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",7,Moderadamente
2026-06-08 13:27:57.722,20,Android,1.5,2,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",2,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",9,Moderadamente
2026-06-08 13:34:36.566,16,Android,0.5,Tiktok media hora,9,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),4,Ligeramente
2026-06-08 13:36:51.521,37,Android,3.0,3,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Tarde (17:00 a 20:00),7,Ligeramente
2026-06-08 13:40:35.517,15,Android,7.0,4 hs,5,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Tarde (17:00 a 20:00),2,Significativamente
2026-06-08 13:40:46.755,17,Android,7.0,Y ni idea ,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente
2026-06-08 13:48:39.323,18,Android,5.0,Entre 4 y 5 horas,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-08 13:49:49.074,44,Android,3.0,1 hora,7,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Tarde (17:00 a 20:00),2,Significativamente
2026-06-08 14:05:34.527,60,Android,5.0,4,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Lectura de noticias o navegación web",3,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",7,Ligeramente
2026-06-08 14:27:44.276,19,Android,3.0,1 hora ,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios, Lectura de noticias o navegación web",2,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",4,Ligeramente
2026-06-08 14:41:06.763,16,Android,3.0,Más o menos 3 horas en instagram y en WhatsApp y en tik tok ,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),5,Ligeramente
2026-06-08 14:59:00.143,21,Android,5.0,4 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",7,Ligeramente
2026-06-08 15:12:06.960,22,Android,7.0,"tiktok 2hs, instagram 3, X 2hs ",6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente
2026-06-08 15:34:51.665,36,Iphone,1.5,3 horas,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Tarde (17:00 a 20:00),5,Ligeramente
2026-06-08 16:10:31.282,19,Android,7.0,1 hora o 2,5,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),6,Ligeramente
2026-06-08 18:07:41.416,25,Android,3.0,Instagram ,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",1,Tarde (17:00 a 20:00),4,Moderadamente
2026-06-08 20:59:28.696,19,Android,0.5,1 hora 30 min.,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",8,Ligeramente
2026-06-08 21:07:36.503,17,Iphone,5.0,2 a 3 horas ,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",1,Tarde (17:00 a 20:00),7,Significativamente
2026-06-08 21:51:57.184,15,Android,3.0,2,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,"No, en absoluto"
2026-06-10 10:07:30.585,19,Android,3.0,4,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,Ligeramente
2026-06-10 10:47:32.906,46,Android,3.0,Unas 6 hs ,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Significativamente
2026-06-10 10:49:13.934,46,Android,3.0,6hs ,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,Significativamente
2026-06-10 11:28:09.743,22,Android,5.0,2 horas ,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",3,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",9,Moderadamente
2026-06-10 15:00:52.448,47,Android,7.0,10,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios, Lectura de noticias o navegación web",3,Mediodía (12:00 a 14:00),8,"No, en absoluto"
2026-06-10 15:07:08.927,29,Android,7.0,2horas ,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)",9,Ligeramente
2026-06-10 15:08:46.923,40,Android,3.0,3 hs,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",1,Tarde (17:00 a 20:00),4,Ligeramente
2026-06-10 15:11:26.011,40,Android,7.0,2 horas,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Noche (después de las 22:00),6,Ligeramente
2026-06-10 15:18:28.372,29 años,Android,1.5,1hora ,6,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",1,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",8,Moderadamente
2026-06-10 16:05:04.917,42,Android,7.0,Casi la mayor parte trabajo con eso son mis herramientas de trabajo (difusion a pleno),8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",4,"Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",10,Ligeramente
2026-06-10 16:40:37.218,27,Android,7.0,Aproximadamente 3 horas,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,Moderadamente
2026-06-10 17:03:42.037,56 años ,Android,3.0,1 a 2 horas diarias ,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",1,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",5,Ligeramente
2026-06-11 11:41:00.073,19,Android,5.0,Minimo 1 hora,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles), Trabajo o estudios",1,Tarde (17:00 a 20:00),5,Moderadamente
2026-06-11 11:47:53.505,19,Android,1.5,2.3,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix)",1,"Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",7,Significativamente
2026-06-11 11:53:19.548,44,Android,7.0,7 horas ,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",2,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",7,Moderadamente
2026-06-11 11:58:16.407,40 años ,Android,7.0,5 hs,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Mediodía (12:00 a 14:00),8,"No, en absoluto"
2026-06-11 21:27:04.108,13,Android,7.0,4,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-11 21:46:10.063,12,Android,7.0,4 horas,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,"No, en absoluto"
2026-06-12 11:39:36.757,23,Iphone,7.0,"1 hora instagram, 4 hs whatsapp y 1 hora tiktok",10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,Moderadamente
2026-06-12 15:06:09.911,11,Android,5.0,4 horas,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",8,Ligeramente
2026-06-12 15:08:01.633,67,Iphone,7.0,20,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Significativamente
2026-06-12 15:11:22.928,14,Android,3.0,En tiktok 2 horas,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Temprano en la mañana (antes de las 9:00),10,"No, en absoluto"
2026-06-12 15:15:34.369,15,Android,5.0,Y nose qsy ,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",2,Moderadamente
2026-06-12 15:15:42.814,27,Android,5.0,"De 2 a 4 horas tik tok,WhatsApp  Facebook ",9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",3,"No, en absoluto"
2026-06-12 15:22:27.376,17,Iphone,5.0,Tiktok (4hrs) Instagram (1hora) Whatsapp (4hrs),7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,Mediodía (12:00 a 14:00),6,Moderadamente
2026-06-12 15:24:29.017,13 años ,Android,1.5,Cómo 2 horas creo,2,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),10,"No, en absoluto"
2026-06-12 15:27:35.404,17,Android,5.0,3 a 4 horas ,2,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente
2026-06-12 15:28:19.774,19,Android,7.0,8,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente
2026-06-12 15:28:31.190,18,Iphone,7.0,2 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto"
2026-06-12 15:31:31.825,14,Android,1.5,1 hs,8,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),5,"No, en absoluto"
2026-06-12 15:32:08.067,12,Android,1.5,2 horas ,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",3,Tarde (17:00 a 20:00),6,Moderadamente
2026-06-12 15:33:27.976,23,Android,3.0,El tiempo que tenga libre ,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",2,"No, en absoluto"
2026-06-12 15:33:44.240,24,Android,7.0,Entre 10 a 40 min,10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",5,Moderadamente
2026-06-12 15:35:40.994,13,Android,7.0,Nose muchas horas,4,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",4,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-12 15:37:39.412,14,Iphone,5.0,3,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Ligeramente
2026-06-12 15:40:30.606,19,Android,5.0,4 hs,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",1,Mediodía (12:00 a 14:00),7,Moderadamente
2026-06-12 15:40:48.784,67,Iphone,5.0,3,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto"
2026-06-12 15:43:43.184,14 añis,Android,7.0,3 hora,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),8,Moderadamente
2026-06-12 15:45:17.702,16,Iphone,3.0,4,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Mediodía (12:00 a 14:00),10,Moderadamente
2026-06-12 15:50:49.316,Larry Vapija,Iphone,3.0,"Anda caga, pedazo de retrasado ojalá te mueras",10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,Moderadamente
2026-06-12 15:54:15.203,14,Android,1.5,4 horas,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto"
2026-06-12 16:00:12.315,16,Android,7.0,8 horas,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,Ligeramente
2026-06-12 16:01:09.770,16,Android,7.0,8 horas,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-12 16:04:05.154,14,Android,0.5,Masomenos ,7,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,"No, en absoluto"
2026-06-12 16:19:22.460,20 años,Iphone,7.0,Dependiendo el Día laboral ,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
2026-06-12 16:33:44.652,16,Android,3.0,No sabría decirte,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,"No, en absoluto"
2026-06-12 16:40:44.133,19,Android,1.5,una hora,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",7,"No, en absoluto"
2026-06-12 17:00:20.598,13,Android,5.0,Casi siempre ,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",1,Temprano en la mañana (antes de las 9:00),10,Ligeramente
2026-06-12 17:26:56.492,24,Android,7.0,Más de 6 horas ,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",1,Mediodía (12:00 a 14:00),10,Ligeramente
2026-06-12 17:35:38.670,15,Android,7.0,Mas de 6 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios, Lectura de noticias o navegación web",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
2026-06-12 17:36:23.282,13,Android,1.5,1 hora,9,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Tarde (17:00 a 20:00),7,"No, en absoluto"
2026-06-12 17:47:15.176,19,Android,7.0,6,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Lectura de noticias o navegación web",1,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto"
2026-06-12 18:00:58.613,35,Android,1.5,3,8,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",1,Tarde (17:00 a 20:00),4,Ligeramente
2026-06-12 18:22:53.722,18,Android,5.0,2hs cda una,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Juegos (Móviles)",4,Tarde (17:00 a 20:00),6,Significativamente
2026-06-12 18:44:53.787,19,Android,1.5,Depende del día 4-6 horas ,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",1,Mediodía (12:00 a 14:00),8,Ligeramente
2026-06-12 20:58:17.932,14,Android,1.5,1a2horas mínimas ,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Noche (después de las 22:00),7,Significativamente
