Marca temporal,¿Qué edad tienes?,¿Qué dispositivos usas principalmente?,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil (celular, tablet) en días laborables?","  ¿Cuántas horas diarias pasas, en promedio, específicamente en Redes Sociales? (Instagram, TikTok, Twitter/X, etc.)  ",  ¿Cuál es tu promedio académico actual o estimado en este ciclo lectivo? (Nota del 1 al 10)  ,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil durante los fines de semana?",¿Cuál es la principal actividad que realiza en su dispositivo móvil?,Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Lunes a Viernes],Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Sábados y Domingos],Evalúe su nivel de dependencia del dispositivo móvil (1 siendo muy baja y 10 siendo muy alta).,¿Considera que su uso de pantalla afecta negativamente su sueño o productividad?
2026-06-08 13:02:00,16,Android,4 a 6 horas,11 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),4,Ligeramente
2026-06-08 13:03:37,13,Android,2 a 4 horas,2 a 5,9,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",Tarde (17:00 a 20:00),Noche (después de las 22:00),7,"No, en absoluto"
2026-06-08 13:03:43,16,Android,Más de 6 horas,6o 7,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",Temprano en la mañana (antes de las 9:00),Noche (después de las 22:00),5,Moderadamente
2026-06-08 13:05:01,13,Android,2 a 4 horas,24/7,4,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Mediodía (12:00 a 14:00),Mediodía (12:00 a 14:00),5,Ligeramente
2026-06-08 13:05:33,23,Android,Más de 6 horas,7,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",10,"No, en absoluto"
2026-06-08 13:07:26,16,Iphone,Más de 6 horas,tarde o noche ,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios","Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,"No, en absoluto"
2026-06-08 13:08:15,38,Android,4 a 6 horas,Instagram 1 a 2 horas ,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),4,Moderadamente
2026-06-08 13:11:00,17,Iphone,4 a 6 horas,Tal vez unas 4 o 5 horas,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Moderadamente
2026-06-08 13:14:35,37,Android,Más de 6 horas,2,9,4 a 6 horas,Trabajo o estudios,Temprano en la mañana (antes de las 9:00),Tarde (17:00 a 20:00),9,Ligeramente
2026-06-08 13:14:54,17,Iphone,Más de 6 horas,5-6,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Ligeramente
2026-06-08 13:17:56,15,Android,Más de 6 horas,todo el dia,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),10,Ligeramente
2026-06-08 13:19:17,16,Iphone,4 a 6 horas,"depende el dia pero hoy casi unas 4 horas, mas q nada en TikTok e Instagram.",7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Moderadamente
2026-06-08 13:22:15,34,Android,Más de 6 horas,Más de 6 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Mediodía (12:00 a 14:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente
2026-06-08 13:23:31,19,Android,1 a 2 horas,Una hora y media ,8,Menos de 1 hora,"Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),Noche (después de las 22:00),6,Ligeramente
2026-06-08 13:24:43,14,Android,4 a 6 horas,Máximo 5 ,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",Temprano en la mañana (antes de las 9:00),"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,"No, en absoluto"
2026-06-08 13:27:25,16,Android,2 a 4 horas,4 o 5 horas,10,2 a 4 horas,Trabajo o estudios,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",9,Moderadamente
2026-06-08 13:27:30,17,Android,Más de 6 horas,3 horas,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",7,Moderadamente
2026-06-08 13:27:58,20,Android,1 a 2 horas,2,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",9,Moderadamente
2026-06-08 13:31:53,34,Android,Más de 6 horas,Muchas porque trabajo con eso,7,Más de 6 horas,Trabajo o estudios,Temprano en la mañana (antes de las 9:00),Temprano en la mañana (antes de las 9:00),8,"No, en absoluto"
2026-06-08 13:34:37,16,Android,Menos de 1 hora,Tiktok media hora,9,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),4,Ligeramente
2026-06-08 13:36:52,37,Android,2 a 4 horas,3,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",Noche (después de las 22:00),Tarde (17:00 a 20:00),7,Ligeramente
2026-06-08 13:38:54,15,Android,4 a 6 horas,1 hora,7,4 a 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,Moderadamente
2026-06-08 13:40:36,15,Android,Más de 6 horas,4 hs,5,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Tarde (17:00 a 20:00),Tarde (17:00 a 20:00),2,Significativamente
2026-06-08 13:40:47,17,Android,Más de 6 horas,Y ni idea ,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente
2026-06-08 13:48:39,18,Android,4 a 6 horas,Entre 4 y 5 horas,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-08 13:49:49,44,Android,2 a 4 horas,1 hora,7,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Mediodía (12:00 a 14:00),Tarde (17:00 a 20:00),2,Significativamente
2026-06-08 13:54:18,13,Android,1 a 2 horas,1 hora,8,Menos de 1 hora,"Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",Tarde (17:00 a 20:00),3,"No, en absoluto"
2026-06-08 13:55:17,13,Android,Menos de 1 hora,1 hora,8,Menos de 1 hora,"Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",Tarde (17:00 a 20:00),3,"No, en absoluto"
2026-06-08 14:05:35,60,Android,4 a 6 horas,4,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Lectura de noticias o navegación web","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",7,Ligeramente
2026-06-08 14:27:44,19,Android,2 a 4 horas,1 hora ,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios, Lectura de noticias o navegación web","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",4,Ligeramente
2026-06-08 14:29:16,43,Android,2 a 4 horas,1,10,2 a 4 horas,Trabajo o estudios,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",Mediodía (12:00 a 14:00),4,"No, en absoluto"
2026-06-08 14:33:16,49,Android,4 a 6 horas,1 o 2 hs,8,4 a 6 horas,Trabajo o estudios,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",5,Moderadamente
2026-06-08 14:36:02,22,Android,Más de 6 horas,6,8,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Significativamente
2026-06-08 14:41:07,16,Android,2 a 4 horas,Más o menos 3 horas en instagram y en WhatsApp y en tik tok ,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),5,Ligeramente
2026-06-08 14:59:00,21,Android,4 a 6 horas,4 horas,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",Tarde (17:00 a 20:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",7,Ligeramente
2026-06-08 15:12:07,22,Android,Más de 6 horas,"tiktok 2hs, instagram 3, X 2hs ",6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente
2026-06-08 15:34:52,36,Iphone,1 a 2 horas,3 horas,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",Tarde (17:00 a 20:00),Tarde (17:00 a 20:00),5,Ligeramente
2026-06-08 16:10:31,19,Android,Más de 6 horas,1 hora o 2,5,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",Tarde (17:00 a 20:00),Mediodía (12:00 a 14:00),6,Ligeramente
2026-06-08 18:07:41,25,Android,2 a 4 horas,Instagram ,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",Mediodía (12:00 a 14:00),Tarde (17:00 a 20:00),4,Moderadamente
2026-06-08 20:59:29,19,Android,Menos de 1 hora,1 hora 30 min.,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",8,Ligeramente
2026-06-08 21:07:37,17,Iphone,4 a 6 horas,2 a 3 horas ,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",Temprano en la mañana (antes de las 9:00),Tarde (17:00 a 20:00),7,Significativamente
2026-06-08 21:08:41,40,Android,1 a 2 horas,2 horas ,7,1 a 2 horas,Trabajo o estudios,Mediodía (12:00 a 14:00),Mediodía (12:00 a 14:00),4,Moderadamente
2026-06-08 21:14:10,65 años,Android,2 a 4 horas,Cómo distracción 2hs,7,4 a 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),Noche (después de las 22:00),7,Moderadamente
2026-06-08 21:20:56,60,Android,4 a 6 horas,2,7,2 a 4 horas,"Comunicación (WhatsApp, Telegram, llamadas)",Temprano en la mañana (antes de las 9:00),Tarde (17:00 a 20:00),3,"No, en absoluto"
2026-06-08 21:51:57,15,Android,2 a 4 horas,2,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,"No, en absoluto"
2026-06-09 16:27:05,33,Android,1 a 2 horas,2hrs,8,1 a 2 horas,"Consumo de video (YouTube, Netflix), Trabajo o estudios","Mediodía (12:00 a 14:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",4,Significativamente
2026-06-09 20:54:38,50,Android,Más de 6 horas,2,8,2 a 4 horas,"Consumo de video (YouTube, Netflix)",Temprano en la mañana (antes de las 9:00),Tarde (17:00 a 20:00),7,Ligeramente
2026-06-09 21:17:27,57,Android,2 a 4 horas,Menos de 1 hora,4,2 a 4 horas,"Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",Mediodía (12:00 a 14:00),"Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto"
2026-06-09 23:04:12,57,Android,1 a 2 horas,2 hs,9,2 a 4 horas,"Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",3,Ligeramente
2026-06-10 10:07:31,19,Android,2 a 4 horas,4,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",Tarde (17:00 a 20:00),"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,Ligeramente
2026-06-10 10:47:33,46,Android,2 a 4 horas,Unas 6 hs ,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Significativamente
2026-06-10 10:49:14,46,Android,2 a 4 horas,6hs ,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,Significativamente
2026-06-10 11:28:10,22,Android,4 a 6 horas,2 horas ,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",9,Moderadamente
2026-06-10 15:00:52,47,Android,Más de 6 horas,10,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios, Lectura de noticias o navegación web","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",Mediodía (12:00 a 14:00),8,"No, en absoluto"
2026-06-10 15:07:09,29,Android,Más de 6 horas,2horas ,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)",9,Ligeramente
2026-06-10 15:08:09,29,Android,2 a 4 horas,1hora,6,1 a 2 horas,"Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",Temprano en la mañana (antes de las 9:00),10,Moderadamente
2026-06-10 15:08:47,40,Android,2 a 4 horas,3 hs,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",Mediodía (12:00 a 14:00),Tarde (17:00 a 20:00),4,Ligeramente
2026-06-10 15:08:54,29,Android,4 a 6 horas,2 a 3 Horas,8,4 a 6 horas,Trabajo o estudios,Tarde (17:00 a 20:00),Noche (después de las 22:00),5,Moderadamente
2026-06-10 15:11:26,40,Android,Más de 6 horas,2 horas,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",Mediodía (12:00 a 14:00),Noche (después de las 22:00),6,Ligeramente
2026-06-10 15:18:28,29 años,Android,1 a 2 horas,1hora ,6,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",8,Moderadamente
2026-06-10 15:50:50,18Años,Android,4 a 6 horas,6Horas,8,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas)","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",Tarde (17:00 a 20:00),7,Ligeramente
2026-06-10 16:05:05,42,Android,Más de 6 horas,Casi la mayor parte trabajo con eso son mis herramientas de trabajo (difusion a pleno),8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",10,Ligeramente
2026-06-10 16:11:14,48,Android,4 a 6 horas,2 horas,8,2 a 4 horas,Trabajo o estudios,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Noche (después de las 22:00)",6,"No, en absoluto"
2026-06-10 16:40:37,27,Android,Más de 6 horas,Aproximadamente 3 horas,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Tarde (17:00 a 20:00), Noche (después de las 22:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,Moderadamente
2026-06-10 16:45:40,54 años,Android,1 a 2 horas,Entre 1 y 2  horas,8,Menos de 1 hora,"Comunicación (WhatsApp, Telegram, llamadas)",Mediodía (12:00 a 14:00),Mediodía (12:00 a 14:00),10,Significativamente
2026-06-10 17:03:42,56 años ,Android,2 a 4 horas,1 a 2 horas diarias ,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",Temprano en la mañana (antes de las 9:00),"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",5,Ligeramente
2026-06-10 23:06:50,17,Iphone,Más de 6 horas,Pasando 2h o más ,9,Más de 6 horas,Juegos (Móviles),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",8,Significativamente
2026-06-11 11:41:00,19,Android,4 a 6 horas,Minimo 1 hora,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles), Trabajo o estudios",Tarde (17:00 a 20:00),Tarde (17:00 a 20:00),5,Moderadamente
2026-06-11 11:47:54,19,Android,1 a 2 horas,2.3,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix)",Tarde (17:00 a 20:00),"Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",7,Significativamente
2026-06-11 11:53:20,44,Android,Más de 6 horas,7 horas ,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)","Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",7,Moderadamente
2026-06-11 11:58:16,40 años ,Android,Más de 6 horas,5 hs,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",Temprano en la mañana (antes de las 9:00),Mediodía (12:00 a 14:00),8,"No, en absoluto"
2026-06-11 21:27:04,13,Android,Más de 6 horas,4,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",Noche (después de las 22:00),"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-11 21:33:57,12,Android,2 a 4 horas,De 2 a 5 o 6 horas,8,Más de 6 horas,"Consumo de video (YouTube, Netflix), Juegos (Móviles)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Moderadamente
