Marca temporal,¿Qué edad tienes?,¿Qué dispositivos usas principalmente?,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil (celular, tablet) en días laborables?","  ¿Cuántas horas diarias pasas, en promedio, específicamente en Redes Sociales? (Instagram, TikTok, Twitter/X, etc.)  ",  ¿Cuál es tu promedio académico actual o estimado en este ciclo lectivo? (Nota del 1 al 10)  ,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil durante los fines de semana?",¿Cuál es la principal actividad que realiza en su dispositivo móvil?,Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Lunes a Viernes],Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Sábados y Domingos],Evalúe su nivel de dependencia del dispositivo móvil (1 siendo muy baja y 10 siendo muy alta).,¿Considera que su uso de pantalla afecta negativamente su sueño o productividad?,horas_movil_norm,horas_redes_norm
2026-06-08 13:07:26.144,16,Iphone,7.0,,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,"No, en absoluto",1.0000000000000002,
2026-06-08 13:08:14.903,38,Android,5.0,1.0,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Temprano en la mañana (antes de las 9:00),4,Moderadamente,0.6923076923076923,0.0
2026-06-08 13:11:00.351,17,Iphone,5.0,4.0,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Moderadamente,0.6923076923076923,0.13043478260869565
2026-06-08 13:14:53.808,17,Iphone,7.0,5.0,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Ligeramente,1.0000000000000002,0.17391304347826086
2026-06-08 13:17:55.804,15,Android,7.0,,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Temprano en la mañana (antes de las 9:00),10,Ligeramente,1.0000000000000002,
2026-06-08 13:19:17.315,16,Iphone,5.0,4.0,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Moderadamente,0.6923076923076923,0.13043478260869565
2026-06-08 13:22:15.126,34,Android,7.0,6.0,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente,1.0000000000000002,0.21739130434782608
2026-06-08 13:24:43.125,14,Android,5.0,5.0,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,"No, en absoluto",0.6923076923076923,0.17391304347826086
2026-06-08 13:27:30.307,17,Android,7.0,3.0,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",7,Moderadamente,1.0000000000000002,0.08695652173913043
2026-06-08 13:27:57.722,20,Android,1.5,2.0,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",2,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",9,Moderadamente,0.15384615384615385,0.043478260869565216
2026-06-08 13:34:36.566,16,Android,0.5,,9,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),4,Ligeramente,0.0,
2026-06-08 13:36:51.521,37,Android,3.0,3.0,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Tarde (17:00 a 20:00),7,Ligeramente,0.38461538461538464,0.08695652173913043
2026-06-08 13:40:35.517,15,Android,7.0,4.0,5,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Tarde (17:00 a 20:00),2,Significativamente,1.0000000000000002,0.13043478260869565
2026-06-08 13:40:46.755,17,Android,7.0,,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente,1.0000000000000002,
2026-06-08 13:48:39.323,18,Android,5.0,4.0,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente,0.6923076923076923,0.13043478260869565
2026-06-08 13:49:49.074,44,Android,3.0,1.0,7,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Tarde (17:00 a 20:00),2,Significativamente,0.38461538461538464,0.0
2026-06-08 14:05:34.527,60,Android,5.0,4.0,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Lectura de noticias o navegación web",3,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",7,Ligeramente,0.6923076923076923,0.13043478260869565
2026-06-08 14:27:44.276,19,Android,3.0,1.0,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios, Lectura de noticias o navegación web",2,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",4,Ligeramente,0.38461538461538464,0.0
2026-06-08 14:41:06.763,16,Android,3.0,3.0,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),5,Ligeramente,0.38461538461538464,0.08695652173913043
2026-06-08 14:59:00.143,21,Android,5.0,4.0,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",1,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",7,Ligeramente,0.6923076923076923,0.13043478260869565
2026-06-08 15:12:06.960,22,Android,7.0,2.0,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente,1.0000000000000002,0.043478260869565216
2026-06-08 15:34:51.665,36,Iphone,1.5,3.0,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Tarde (17:00 a 20:00),5,Ligeramente,0.15384615384615385,0.08695652173913043
2026-06-08 16:10:31.282,19,Android,7.0,1.0,5,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),6,Ligeramente,1.0000000000000002,0.0
2026-06-08 18:07:41.416,25,Android,3.0,,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",1,Tarde (17:00 a 20:00),4,Moderadamente,0.38461538461538464,
2026-06-08 20:59:28.696,19,Android,0.5,1.0,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",8,Ligeramente,0.0,0.0
2026-06-08 21:07:36.503,17,Iphone,5.0,2.0,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",1,Tarde (17:00 a 20:00),7,Significativamente,0.6923076923076923,0.043478260869565216
2026-06-08 21:51:57.184,15,Android,3.0,2.0,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,"No, en absoluto",0.38461538461538464,0.043478260869565216
2026-06-10 10:07:30.585,19,Android,3.0,4.0,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,Ligeramente,0.38461538461538464,0.13043478260869565
2026-06-10 10:47:32.906,46,Android,3.0,6.0,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,Significativamente,0.38461538461538464,0.21739130434782608
2026-06-10 10:49:13.934,46,Android,3.0,6.0,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,Significativamente,0.38461538461538464,0.21739130434782608
2026-06-10 11:28:09.743,22,Android,5.0,2.0,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",3,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",9,Moderadamente,0.6923076923076923,0.043478260869565216
2026-06-10 15:00:52.448,47,Android,7.0,10.0,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios, Lectura de noticias o navegación web",3,Mediodía (12:00 a 14:00),8,"No, en absoluto",1.0000000000000002,0.3913043478260869
2026-06-10 15:07:08.927,29,Android,7.0,2.0,6,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)",9,Ligeramente,1.0000000000000002,0.043478260869565216
2026-06-10 15:08:46.923,40,Android,3.0,3.0,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",1,Tarde (17:00 a 20:00),4,Ligeramente,0.38461538461538464,0.08695652173913043
2026-06-10 15:11:26.011,40,Android,7.0,2.0,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Noche (después de las 22:00),6,Ligeramente,1.0000000000000002,0.043478260869565216
2026-06-10 15:18:28.372,29 años,Android,1.5,1.0,6,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",1,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",8,Moderadamente,0.15384615384615385,0.0
2026-06-10 16:05:04.917,42,Android,7.0,,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",4,"Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",10,Ligeramente,1.0000000000000002,
2026-06-10 16:40:37.218,27,Android,7.0,3.0,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,Moderadamente,1.0000000000000002,0.08695652173913043
2026-06-10 17:03:42.037,56 años ,Android,3.0,1.0,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",1,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",5,Ligeramente,0.38461538461538464,0.0
2026-06-11 11:41:00.073,19,Android,5.0,1.0,7,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles), Trabajo o estudios",1,Tarde (17:00 a 20:00),5,Moderadamente,0.6923076923076923,0.0
2026-06-11 11:47:53.505,19,Android,1.5,2.3,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix)",1,"Temprano en la mañana (antes de las 9:00), Noche (después de las 22:00)",7,Significativamente,0.15384615384615385,0.056521739130434775
2026-06-11 11:53:19.548,44,Android,7.0,7.0,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",2,"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",7,Moderadamente,1.0000000000000002,0.26086956521739135
2026-06-11 11:58:16.407,40 años ,Android,7.0,5.0,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Mediodía (12:00 a 14:00),8,"No, en absoluto",1.0000000000000002,0.17391304347826086
2026-06-11 21:27:04.108,13,Android,7.0,4.0,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",1,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente,1.0000000000000002,0.13043478260869565
2026-06-11 21:46:10.063,12,Android,7.0,4.0,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,"No, en absoluto",1.0000000000000002,0.13043478260869565
2026-06-12 11:39:36.757,23,Iphone,7.0,1.0,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,Moderadamente,1.0000000000000002,0.0
2026-06-12 15:06:09.911,11,Android,5.0,4.0,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",8,Ligeramente,0.6923076923076923,0.13043478260869565
2026-06-12 15:08:01.633,67,Iphone,7.0,20.0,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Significativamente,1.0000000000000002,0.8260869565217391
2026-06-12 15:11:22.928,14,Android,3.0,2.0,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Temprano en la mañana (antes de las 9:00),10,"No, en absoluto",0.38461538461538464,0.043478260869565216
2026-06-12 15:15:34.369,15,Android,5.0,,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",2,Moderadamente,0.6923076923076923,
2026-06-12 15:15:42.814,27,Android,5.0,2.0,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",3,"No, en absoluto",0.6923076923076923,0.043478260869565216
2026-06-12 15:22:27.376,17,Iphone,5.0,4.0,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,Mediodía (12:00 a 14:00),6,Moderadamente,0.6923076923076923,0.13043478260869565
2026-06-12 15:24:29.017,13 años ,Android,1.5,2.0,2,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),10,"No, en absoluto",0.15384615384615385,0.043478260869565216
2026-06-12 15:27:35.404,17,Android,5.0,3.0,2,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Significativamente,0.6923076923076923,0.08695652173913043
2026-06-12 15:28:19.774,19,Android,7.0,8.0,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Consumo de video (YouTube, Netflix)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",10,Moderadamente,1.0000000000000002,0.30434782608695654
2026-06-12 15:28:31.190,18,Iphone,7.0,2.0,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto",1.0000000000000002,0.043478260869565216
2026-06-12 15:31:31.825,14,Android,1.5,1.0,8,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),5,"No, en absoluto",0.15384615384615385,0.0
2026-06-12 15:32:08.067,12,Android,1.5,2.0,8,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",3,Tarde (17:00 a 20:00),6,Moderadamente,0.15384615384615385,0.043478260869565216
2026-06-12 15:33:27.976,23,Android,3.0,,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",2,"No, en absoluto",0.38461538461538464,
2026-06-12 15:33:44.240,24,Android,7.0,10.0,10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",5,Moderadamente,1.0000000000000002,0.3913043478260869
2026-06-12 15:35:40.994,13,Android,7.0,,4,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",4,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",6,Ligeramente,1.0000000000000002,
2026-06-12 15:37:39.412,14,Iphone,5.0,3.0,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Ligeramente,0.6923076923076923,0.08695652173913043
2026-06-12 15:40:30.606,19,Android,5.0,4.0,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",1,Mediodía (12:00 a 14:00),7,Moderadamente,0.6923076923076923,0.13043478260869565
2026-06-12 15:40:48.784,67,Iphone,5.0,3.0,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto",0.6923076923076923,0.08695652173913043
2026-06-12 15:43:43.184,14 añis,Android,7.0,3.0,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),8,Moderadamente,1.0000000000000002,0.08695652173913043
2026-06-12 15:45:17.702,16,Iphone,3.0,4.0,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",1,Mediodía (12:00 a 14:00),10,Moderadamente,0.38461538461538464,0.13043478260869565
2026-06-12 15:50:49.316,Larry Vapija,Iphone,3.0,,10,1 a 2 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",3,Moderadamente,0.38461538461538464,
2026-06-12 15:54:15.203,14,Android,1.5,4.0,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",5,"No, en absoluto",0.15384615384615385,0.13043478260869565
2026-06-12 16:00:12.315,16,Android,7.0,8.0,8,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,Ligeramente,1.0000000000000002,0.30434782608695654
2026-06-12 16:01:09.770,16,Android,7.0,8.0,10,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios, Lectura de noticias o navegación web",3,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente,1.0000000000000002,0.30434782608695654
2026-06-12 16:04:05.154,14,Android,0.5,,7,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",6,"No, en absoluto",0.0,
2026-06-12 16:19:22.460,20 años,Iphone,7.0,,9,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",4,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,"No, en absoluto",1.0000000000000002,
2026-06-12 16:33:44.652,16,Android,3.0,,7,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",9,"No, en absoluto",0.38461538461538464,
2026-06-12 16:40:44.133,19,Android,1.5,,9,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles), Trabajo o estudios",2,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",7,"No, en absoluto",0.15384615384615385,
2026-06-12 17:00:20.598,13,Android,5.0,,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Trabajo o estudios",1,Temprano en la mañana (antes de las 9:00),10,Ligeramente,0.6923076923076923,
2026-06-12 17:26:56.492,24,Android,7.0,6.0,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Trabajo o estudios, Lectura de noticias o navegación web",1,Mediodía (12:00 a 14:00),10,Ligeramente,1.0000000000000002,0.21739130434782608
